Ticker,Date,Title,Source,Link
ICICIBANK.NS,2021-01-01 08:00:00,Biggest stocks which ended 2020 at all-time high share price - livemint.com,livemint.com,https://news.google.com/rss/articles/CBMiygFBVV95cUxPblhMUEQ2U0l3d1FZUFlOcXZ4VndkSHJxQV9LNmo0WUU2LWl5X2VGREphV1VjUzVEeTJSMzQ5dTdKYjZpT0xLWUVNZEtNYTg3LWRUNV9LOE1wVGs1ZGplU2RGWmNjU2h2WlV0Z2VzUWVGR0JLbHQ3dzBwSnFiVnBBekI3dC04NkNBWmtISHY1SGVaeWY1bGR2NnF2aVBtZ29BU192bUJiSHFYRzBSN3hXNkNHOG1CWTUtRGxWLVNmdWxuNWl3d1FFVXpR0gHPAUFVX3lxTE1hSmMyb3hNRlpQSlFXaFRQM01mVnRlQ0Nxa3gzYktyQjQtWGVkcHFON1pWb2JyUmJwWTRNdDNyM3Q3ckhiOHBNSEJJaXAxamVVc1MxV0w3U183SDRBR0FrbEJFRTZ0TXdVb1dqTTAzeUcwNWQwWGcwMlJZREpsYzhiVl81ZmxULVAtOHJ3SHV4ZXpfTnVnTWJkRHVWRXFYVkpuV1JIbzZydWswU0YwSU8yWFdUUG9VTXRIQW5YZFVhNk4wOHdkX1djWWVob1dDZw?oc=5
ICICIBANK.NS,2021-01-04 08:00:00,Why are millennials scared to invest? - financialexpress.com,financialexpress.com,https://news.google.com/rss/articles/CBMijAFBVV95cUxNT3RfdHlobV94LXowTHFlRDIwZUVPbWJ3UFlxaW92TEdXQmJUMUpfeGg2OHV1djBSbm42a0NNZV9Fb3otWmVZa2dQbWRBZnVGbG81V2x6eW5tNGR6M0poZXdlbWJ4S185LW1MMEVPSC13UFN1NzVZWFE4WXFhQ1U5Y0xvNzhSX2lmOHlsV9IBkwFBVV95cUxPZVo5eTF5a1JBR2V4dGRoZ2V1dS1fSmtfVTFtc211bHo5OG9PQWhXcERNT0htLU94U20wWWNvLVRjUUs5VWw5NGw3ekNzbXc5SVNuNDBlcHM3dkplcFVZaVA3TjlUNkl5SlNibHFUdE9NV0hkUjZDaVVPUlAxLXNFODVWa2xsbGJYV24xcy1ZNUN6eTA?oc=5
ICICIBANK.NS,2021-01-12 08:00:00,"11 Indian companies in top-500 globally by value, country ranked 10th: Report - The Times of India",The Times of India,https://news.google.com/rss/articles/CBMi8gFBVV95cUxPSHR0ZDFMZFhzTnNmakJFZUkyeElUU3k4NWVzRFExUFhKS3dnUGtHN1BEQlBkVzRmUlJyS29kYWFMc25jTFkyS250X2c3ZGdsc2ZLblg5a0RNaEIyX3hURWUxR1M1ZmVqal9mZ1ZZdm04aHhhM2V2TXZsbS1oN1hxdnJId0FHOC1SdEl1RHl4VS10aXdxekNqN3ZuRURtVXRLU09HM0FXZ09kcFJPVFhidWtmS2NjSlJWcGd1bEdVM1NCOERBSmszZEI3RnhxcjVrY3BNR2FsdXdiWEF0NnhXeG13RW8wRGtOQmZWT2sxdEZ5Z9IB9wFBVV95cUxNSmRkLS0xSnVraGRLV0d0MjZFcy1PcTRxbUI1V0M4UWlBSDVXWEFmc1YwbkthSUIzb0ZPLXRXTVZpRGdFd2VHallOM0VhZE03eFBzRVRRLUh1cko3WGJ5eTdBTUpVdXdiVmdCb1U3MmZOWXRqSGlicHYyT3E0SjFOaHNqZnB1Yld0S2cwVWtLc1pSS3VwZGNmN3hpaC1vVzZLQTRBQXpLdkVOZHcwY0tpTUo3Y1EzTVVfR2QxRDQzd2ZPTWJPWGNkc1RSY2JpNkR0dzdVS3ZRMVZhLUIzSzlWbVo5WEFmdE9JWEdlYUFCc0VaVVU3cFM4?oc=5
ICICIBANK.NS,2020-12-31 08:00:00,"Sensex, Nifty end flat on last trading day of 2020; close year with nearly 15 per cent gains - The New Indian Express",The New Indian Express,https://news.google.com/rss/articles/CBMi7gFBVV95cUxQUjY5LTM2MEJMUTRRMnR4VnNxOUNQQXFUTktEZnRYVEQ4ZnNpWE51M3pwejlFT1o2ZVYyWkNZWGJ0U1dhS1c2dmlwajRGRnAzSzFzQTQ5dUZqSmZHNGw2RnZmYnRnaGtiTXJkYnRIcWRiUlQ3dFN0Y0ZvQXdRX0hqdXl1bmJLbHBEQjhrZHRlWkNMTlRiYU9ITE1vNVBsMVowVmxaQjFtYjYzaVE0YjlXTHlMVGFSZVFYNDFPUjFGU1RjbDVybE9fcmpIMEx3WEd0OW8tTVEyeXNKOEJ4cHA5cF91cnR2RVJhUnpxVWt30gH7AUFVX3lxTE5EclBueTNYaElmaHIwVzlnMVBCZDdqWUdMdVFnZkJ2Sm0xQVk4WkRwMngyeWthWVB1dHdyODd5R3NDbVV3MzdQRmxqN2tlTWVoem5LZHo1aUJBVWpVbzVISzhhU1VMOUFYM0Mta3lheDNnM0tuekd4UGVjTnNRWm9QQ3JLX1JheU1ZNWJ5S0RtQm5NVm93VnNCSlJwSXBHU3VvVW5IRjdPUnRBa2N2a3hDU1JlZUMzVFFSbFNXWEtSZmR4S1lxY1RMUkhmNEVjMVBPYmpOYmtsdHpETXlxQ0twZFVuZmNPcXFTcXk1WXRsbE5FWVlrR3ZMdjFv?oc=5
ICICIBANK.NS,2021-01-20 08:00:00,"‘Too big to fail’ list: SBI, ICICI Bank, HDFC Bank remain - The Indian Express",The Indian Express,https://news.google.com/rss/articles/CBMiwgFBVV95cUxNamhrQXhwb0hsa2F4aWtnSjFaX3JHczB5NTdqOEljUzV0MjhkUnItQm9HZDhadTJNWEJmS2ZPemdMQ1RWQnBoRHRVTVZIa21uSEJRN1BRYnFhM3UwRkIzdlBLQUZIa0I5dl9Tdlo1clpkeHRZZFdvRzk5UExpdjBOUHBkQVRmdmItVHJlTlItRzBpTzFOU1ZwOTdXOGRJdS1lRldEUWZDTUxEY2FXTUVNU2F6V1BxU1VyRDZuVTJfazRzd9IByAFBVV95cUxNZ2xRWkdvbWUySWhxVmtONllKWXQtZUdYYXZRUWd5RFJMUGdfRF9Gbzg5MkNLNDJfMG9ZemhlcTRlR21ETmVvUFNPUkxlckljaFdKVk5WU3hKbVRWeXBuSHN6b1RkcU1DeGlZaExUVTY5c3lyd1REa2dwZUtnUW1FZ1NhY25oS2JucWlXTi1FMzQ5OG5VaUc5Sy1CNk9jZzM1cjd6eFd2R1ZLblpvTC1sYXZ4Vk9qQlc2OTRzbWRFZDVtM2lvOEpLLQ?oc=5
ICICIBANK.NS,2021-01-20 08:00:00,"In its first, ICICI Bank launches ‘InstaFX’ mobile app to help customers obtain Forex Prepaid Card... - Moneycontrol",Moneycontrol,https://news.google.com/rss/articles/CBMiogJBVV95cUxNREx6ekdkT1J4ekZXTXQxZnY5VGZlWUhYczdUUEpQQ1hyTnJKc1plOGJKdVdCS0dCMDJTMzhtNTk3V3JkaWtaa0RGLURheExMdWx6QVlwcTU0MHZrVEo3WkctTS1Nby1BVmRJNGtaaVU2Z1JKTzh0VzdpYTZBcFhsSEJlb0pnV2htaUljMTlVQmdoc0ZKZWVEa2gyYzZFWmZGNVBuUlZmcFl4RW01anR4dnQ1b1MxQmhHSXBVOTB1aFRWWXI2RnZHajViN0JvckRvckNybHI1dUtTSV8ybFVGbENyVVZvclFhSzFfUXZncnFGNGEybHVWRWR2X0hpUmdaRWVwb1J2Q3RvOTMzeTlndE1wTEdHazhFeEUzR182N0tnQdIBpwJBVV95cUxOZndyUEhFT3RSSE1MUFNCNkY0OFpDZnNLZEM4RWhZQnFJOFpkeDBjWHpZckxjbF90dDlCSkNBeVFMRWNESTdleUpJekEybnRCOUJnU0FjaHhEdXRvMWZZVkdCUnFUVi1lSmdPXzBwTlFMQWhLd1htUWxJSzhsc2pyUFU1Zy1xemZLSm5laTktRFFhN1JEcHBPQ043N0YwcW43aTNsNzFQY2RKYzNYSzIwSl9zT0lnLW5JcWZwcTc1a1UwT2N1a0tFajVwWmRsZjRRcDZNNlg2UzJ5OTJMYlZQZHpXZ2dIR3AtR3ZmMmdwYkVCX1N1WDBXblRXcWNHeHNWT09Zdmo5RHhLSlMzQUN4eFpwV25EdndVZ1pBZjR0TFFmM0s5ZDVZ?oc=5
ICICIBANK.NS,2020-12-30 08:00:00,MyClassboard raises Rs 4.5 crore funding from ICICI Bank - The Economic Times,The Economic Times,https://news.google.com/rss/articles/CBMivwFBVV95cUxQRFhSb21SbHZXZ0JXYVB1UXZrLVp6eU1EdjV0QlNoNEM0cW9wdWJ5M3ZGV1hHdGNfQnJEZ2RoWExFbUdlRm9Cdnl5V3ZWMnNJcTRkRW9UQmhnX25pQ3F4Q05JUWtzSHNWT29MeGlCbmlIRl9TdXcteFhSZWtTSC1SYXlHSkNVOFdnaFdXdU1CVTh4N004M0lKLTEtZHNtZ2lnZ3BRckxEa2daZDZSVzhvMmI0M1NjbGtYb0Y5TDViVdIBxAFBVV95cUxNRS03aHRNbkNZQlNSZElXdkRyUkpSclpZLS1zbHFpbW9xUHBIWmtNMkNrSmtZVWc0NUNuTDdPalZlbkoyY3Y2cW5GbUVkQVRDcGxDNDd0NjRBM0tQMnNtb0pKLTBtUVVTeWJJVUJRdHdsWVFvdUxmWVY2d0w1U2JsZmY3bHI4UElGTDRNSjNpdlQ2TE82ODhmel9LRGVQcVFYci1uOTlmdGxNTFE1cjBUaXFrZVNOM0J4N3o4dGpGMGlnNm1L?oc=5
ICICIBANK.NS,2021-01-22 08:00:00,Yes Bank and ICICI Bank’s UPI platforms lead transaction volume chart in Dec - Entrackr,Entrackr,https://news.google.com/rss/articles/CBMiqAFBVV95cUxQeGd3dW5YT1hyNEtSS2d4VU15MGpHYTlBOEtqUXh5dzFhQ0lfSndQWHJqX04xUlRuTG5qd2hGZ1FWUEtJNUU2NGJjaGdlbHpVSVB6TzhlZURWWFU5YWVZSVV2UkNZZEhQX1gwTW1RYUtBd05RX2tMd1pFajlIWVE3cEUyT01iY09keDhqTmRYYTZXRDB0RTc5TEkxM2JoNGRfeTc3UVVEMTPSAagBQVVfeXFMUHhnd3VuWE9YcjRLUktneFVNeTBqR2E5QThLalF4eXcxYUNJX0p3UFhyal9OMVJUbkxuandoRmdRVlBLSTVFNjRiY2hnZWx6VUlQek84ZWVEVlhVOWFlWUlVdlJDWWRIUF9YME1tUWFLQXdOUV9rTHdaRWo5SFlRN3BFMk9NYmNPZHg4ak5kWGE2V0QwdEU3OUxJMTNiaDRkX3k3N1FVRDEz?oc=5
ICICIBANK.NS,2020-12-29 08:00:00,"Sensex gains for 5th day in a row, Nifty ends at 13,933; financial stocks rally - livemint.com",livemint.com,https://news.google.com/rss/articles/CBMi2wFBVV95cUxOdDU1OENqbWNpb3dHSjd2Z0FDVy1fVE9rYUlIN0t3cVBsLWNBbEFiaElDaUdQRFdOTGtEb0Z5cUE0Q0puWUdZOElLX0U1Q19YWS1zTEloZlNfUGpIR0JiZ1UweFhfcUZqcHFFT0JRQkNWdXBud3lTdWVaMHE0b2JZWHpmdTlrb3ZvTnJPVXlBaGgwVkk3bTRLdXFmRmpEcFVSV0c0UU83STl1VTBwTGxIVTJvdmZQaXNCTXdCYWpSeFhrWE1XVU9MMHBQN1o3UWNId2VtUXZ4N1pkbGvSAeABQVVfeXFMTTJtdVdyNklXc243aDM3eWlUOG5BOFFpM2lDS1lJbzVRY1k2eW9ON19nSEVHTW1mQW9BMGhmVkRhRUdYTzhKR20zbmo4OWRGc3VNXy1yTU5CelZzaHJoZjREMS0zcENURzhTYmlJQUVXRnJMYW9NdTBjNmtOdF9uT2t6NFlJZzJOb0RMSjcxRW9IajYxdUhiRnpGWWFsendDaGZqMVdoSWt4TnRXN0RZVkNEVVVscE8wWlE5TVFtVWM3dGJibGJtcHhWOVRfUXJJbFdnSnBobHF2Ukh1d0VZWm4?oc=5
ICICIBANK.NS,2021-01-17 08:00:00,"Metropolis Healthcare to buy Hitech Diagnostic Centre in a cash, stock deal - Business Standard",Business Standard,https://news.google.com/rss/articles/CBMi3wFBVV95cUxOQnF0NkQzejgwb3pPQXVZX3MxSXBlN0k2RkhGOFRsZVFHYWdqWGtCZjIyQnBnbVJlZF9NNHQ5cjVydkgxVWczZDJQcTJhZHhuQWxTMnVqcG5JZTBxRzU3OXpoRldXTVNTS0tYcjRPNGhkQmRUR1ZtOFB4Y3V4ZVhsWjRZcHNZR0RvUEtoODhUUy0tT3k3OElzVy1NeVMxa3M1dnpkQnBtX1g1LXp5Z3BFdUdLNUUyRl82aGRZUHlkWG15eFk0bWt6WUZwbWxUSk9yakQ0djRSajVxZmlNSFBR0gHkAUFVX3lxTE9EdG5VR0JQNGVjV1JWb0tOcjJHejRaWk5hbjZsVFo1QWN1dkM4dDk1MDdBWUEzem1SLUJkR1VwdThBWGtDVVJHR3lNa0pWMk5vSlRuTEVyUFFCdUQ4Vm5Lbk1GWFl5S1pWM1E4T2gzQm9tVUNRYjVoOVctRDhFN002UVV0SldXQVQtaVpUNnJpNlBEYjZvWGhrUV9CdUF2SXRzV1JObGtpbGdRdUdpNUF5TUZ1NHJVRGZSd0dJbVA3SFNlc1pwNXFIamFMUG1ZYVMyQXlTTDRoTGc0LUlyQnRvcTZCVQ?oc=5
