Stock Index Name,date,title,sentiment,source,link
20MICRONS.NS,2026-01-08 12:35:20,Where Could 20 Microns Limited (533022) Be Headed - Volume Weighted Average Price & Start Building Capital with Zero Risk - ulpravda.ru,-0.11071428571428571,ulpravda.ru,https://news.google.com/rss/articles/CBMiiwFBVV95cUxPTkJLbG56d09qUFlVN2liX25IOE05S1Y3dXJ5VU1fbGdiRXV5Y0FVVlgydWRjeTZDZGQwcVdTMTlhUHFGOEhBcllWMV9td2NfRFpYVTdxbTVGbzVRc283eERuRXZqcGZxSVZESXM4NjlNRU43OEd4aHRuQUlXaTlUbEhoMVY3Q0hxX1NZ?oc=5
20MICRONS.NS,2026-01-08 08:01:13,20 Microns Limited (533022) Stock Rallies - Small Cap Stock Opportunities & The Best Picks Hiding in Plain Sight - ulpravda.ru,0.11607142857142858,ulpravda.ru,https://news.google.com/rss/articles/CBMigAFBVV95cUxPNkgtZ2o5MktaNUZ4VUZNcXhRYlVoT25LSVkzdlJjb2JiVHRDR3JadGtqcDlkUzZ1WGMzMEJMRUl0YWxJR3NRVWNsSlJ1bzUzQkt6ZnAxT3JlQURWeDB2dGVhVWdfcnZBcW1zOWl3T3Excng0UkJDbFhYWktobThLMw?oc=5
20MICRONS.NS,2026-01-08 00:38:24,20 Microns Limited (20MICRONS) Gets Regulatory Approval - Market Rumors and News & Explosive Growth Opportunities - ulpravda.ru,-0.07142857142857142,ulpravda.ru,https://news.google.com/rss/articles/CBMiiAFBVV95cUxPaFJMXzV5M1VEU2VCY0dyZW9lZTdrLU9MUVdYSWxGSkdkTXNYR1ZnejJmVG9kSzV1RjBMSEoxQzdIXzJzX25kb3Z0cW1OTTMyY2JFcXhKY1BQVzdjaktFOFc0RlN2N3VqelRrQXpnLWRReXhYblBJSGVSUl9rck5vRThubi1peVRu?oc=5
20MICRONS.NS,2026-01-07 17:25:33,CG Power Industrial Solutions Capable management good business industry tailwinds - Momentum Stock Picks & Budget Friendly Trading Ideas - bollywoodhelpline.com,0.425,bollywoodhelpline.com,https://news.google.com/rss/articles/CBMitwFBVV95cUxQNlQ0b2YwTUpLemE0VWIzOHI5OGN6X2pWN0x0Tkxwd0xMSDhLeVVpb05zRFpzUUxxN3BUWEs4c2ZCbzVBbTVNckNTU1VKSDBJM0hPOXlUMFhuMXphM2NPVnNWRHBiMWN1enNRY3pkUmFxQTIxMmN3S0lOT2ljalpnRkFZdjcyWHNYN0xxZUdxLTREdThaa1JybzBTZjZhZ1ExSVhPWllfNFpMUVViakVMMWpfcUpUclk?oc=5
20MICRONS.NS,2026-01-06 18:39:22,Technical Bounce Expected in 20 Microns Limited Next Week - Sector Performance Drivers & Low Cost Trading Plans - bollywoodhelpline.com,-0.03428571428571429,bollywoodhelpline.com,https://news.google.com/rss/articles/CBMimwJBVV95cUxOa1NDY0RVamJOLUVBTnkzaWF6alBSNzFXalFOOU5EZDk1OFRXWkNPaUJIWE1qU0xack5ZMHh2MFBNM1Zad05qMlh1dzlMY1ZZVjc0cUY2ZFM2RWZYQ0pyVjdlUVpudE1zOThoSjE2MFNGdGZ0YWlQSHFuMmFJMHlsU180YU5qLUJRSUtBN2p3NlFhT1BNajNvSF85X3VPcUhTekZqaU1XOThHLVBWREs3ak1jQmpfXzVWcXZqeXZHdTdyVU1kbWt4WjlQYXRYWHZwLVFoc093Y29vdGpLZGc1WkJjVXdlcnRFQlF2cmhlMi1uMENDNVhjbHNtRjdfZzg4dVdjT1RYR2R5U0F0SUtjemQwVTlORTlDQjBV?oc=5
20MICRONS.NS,2026-01-02 06:23:28,20 Microns Ltd is Rated Sell - MarketsMojo,0.0,MarketsMojo,https://news.google.com/rss/articles/CBMilAFBVV95cUxPQmYzVkVLbHhGTXNsQkdUVWtHLVBaRnFsbjVocUktVG1EcnBoSGNma0NlR24yRjMzcGVsS3V1c3NmLWxRb0o0OUtRcl9PNjRINjBJOGhTaUtHYkhLc2Q4b0tFdEg5c0lKQ0w3RXhYbngwOXEwVVUzUzhsZDlHWndzUE8zdHhCMEVhTHhvV1EyMHA2YnRC?oc=5
20MICRONS.NS,2026-01-02 06:23:26,20 Microns Ltd Valuation Shifts to Very Attractive Amid Mixed Market Returns - MarketsMojo,0.5,MarketsMojo,https://news.google.com/rss/articles/CBMizwFBVV95cUxQRng4bEs0STRyREVXcjJPcWJRUFU0UmNPMWRKaG8xeGlSM2pPUkJWUktBN0xFTVBvaEZMNUR2cEZJRUY1U2h6OGliS3BUbXhGam03Y25sTDF4ci1nMmNab0wzSnNqZDJYS3BqQUd3SjExc1VfamxUMUVjb3l2YTMzbG9HQUEwVHlNNWFNQS04Zy1KTnhfTktwRUtUSjlBOUdWNk1EcEFOOV95dXBob3hEdWxxMTBZQTBjYzVna2Q3WVE4Yl9IM3NNRl93UTZVdUE?oc=5
20MICRONS.NS,2026-01-02 02:40:55,Afcons Infrastructure Limited (544280) Stock Rallies - Support Zone Identification & Small Entry Capital Stocks - bollywoodhelpline.com,-0.1607142857142857,bollywoodhelpline.com,https://news.google.com/rss/articles/CBMikAFBVV95cUxPQ3Q2OHVkMF9nVHVZb2dqaUplU3pyN2g5RWdYczR3SmJQN2Njam1jN09Fd0c4S0YzNzA4QXNuY0lFTlU2Vk16cXF2RXJnUnhyWjVUblBybVh0aFBWNndGSmdlNjlBNlV0UWVuR1ZJQy1QZFlsUThEZFNRUW1wazdwM0Qzd3JxaDlQeTBwRUIzaDI?oc=5
20MICRONS.NS,2025-12-31 06:07:46,20 Microns Limited Added to Custom Quant Screener Today - Market Volatility Update & Low Cost Market Strategies - bollywoodhelpline.com,-0.03571428571428571,bollywoodhelpline.com,https://news.google.com/rss/articles/CBMinwFBVV95cUxQMmhyWWpYQi14ZF9LQmZsZE9aTmIwd0pxbExMVUNIYzQ0OHo4TnllLXZFdDZOd0RPdnRMaTdPUVB0cFdyei1BcTI1c28yaXV2aWd6ZGZETUszSlhDRGxTQVJZUF92cENycFdaMi05bExHVFcwazNua214aFVzOVFWeGJVNXppQjN3aHRnX1ZIWE5GQ09SajljNEZxVEhTeWc?oc=5
20MICRONS.NS,2025-12-29 15:39:26,Hoac Foods India Limited Ranks High in Smart Money Tracker - Sector Rotation Strategies & Interactive Charts for Smarter Trading - bollywoodhelpline.com,0.10095238095238095,bollywoodhelpline.com,https://news.google.com/rss/articles/CBMiowFBVV95cUxOdnAwYmhscEVYVE5HazhtMllMT2tENW93bERaU3RHVGM5LWJhT2tZcGhQbGlJZjBKaV9lcmdDVHptblIxaEpST3pubmlLazZrdnpBbnNGdFVmbldsZXVpZ3JUcmxkYlF6OGlibWlxM0R5WU5lYl9qVEYtUkJsMTRzNTc1WmZTSVlWWkFuU2RmbWlBTnNmMS1wdTBmVVRBZ1BrZ3E4?oc=5
